,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
798,,mnist,0.002,N26,MNIST_P41_N26,unsat,10.5094,798.0,marabou,MNIST_P41_N26 N26 0.002,True,1,1
10965,,mnist,0.005,N17,MNIST_P25_N17,unsat,54.1487,2165.0,marabou,MNIST_P25_N17 N17 0.005,True,1,1
9406,,mnist,0.008,N17,MNIST_P15_N17,unsat,55.9634,606.0,marabou,MNIST_P15_N17 N17 0.008,True,1,1
10953,,mnist,0.005,N17,MNIST_P82_N17,unsat,54.2878,2153.0,marabou,MNIST_P82_N17 N17 0.005,True,1,1
9454,,mnist,0.008,N17,MNIST_P80_N17,unsat,53.9976,654.0,marabou,MNIST_P80_N17 N17 0.008,True,1,1
7443,,mnist,0.004,N26,MNIST_P41_N26,unsat,10.2619,3043.0,marabou,MNIST_P41_N26 N26 0.004,True,1,1
769,,mnist,0.002,N26,MNIST_P66_N26,unsat,10.716,769.0,marabou,MNIST_P66_N26 N26 0.002,True,1,1
2897,,mnist,0.002,N26,MNIST_P86_N26,unsat,10.5139,2897.0,marabou,MNIST_P86_N26 N26 0.002,True,1,1
9488,,mnist,0.008,N17,MNIST_P38_N17,unsat,56.0774,688.0,marabou,MNIST_P38_N17 N17 0.008,True,1,1
7468,,mnist,0.004,N17,MNIST_P57_N17,unsat,55.1202,3068.0,marabou,MNIST_P57_N17 N17 0.004,True,1,1
9505,,mnist,0.008,N17,MNIST_P67_N17,unsat,56.816,705.0,marabou,MNIST_P67_N17 N17 0.008,True,1,1
821,,mnist,0.002,N17,MNIST_P5_N17,unsat,55.0637,821.0,marabou,MNIST_P5_N17 N17 0.002,True,1,1
788,,mnist,0.002,N17,MNIST_P78_N17,unsat,53.4778,788.0,marabou,MNIST_P78_N17 N17 0.002,True,1,1
7504,,mnist,0.004,N17,MNIST_P99_N17,unsat,54.1835,3104.0,marabou,MNIST_P99_N17 N17 0.004,True,1,1
11946,,mnist,0.005,N17,MNIST_P11_N17,unsat,54.0971,3146.0,marabou,MNIST_P11_N17 N17 0.005,True,1,1
2870,,mnist,0.002,N26,MNIST_P59_N26,unsat,10.4333,2870.0,marabou,MNIST_P59_N26 N26 0.002,True,1,1
7546,,mnist,0.004,N17,MNIST_P82_N17,unsat,55.1103,3146.0,marabou,MNIST_P82_N17 N17 0.004,True,1,1
10987,,mnist,0.005,N17,MNIST_P45_N17,unsat,54.6819,2187.0,marabou,MNIST_P45_N17 N17 0.005,True,1,1
7567,,mnist,0.004,N17,MNIST_P75_N17,unsat,54.6984,3167.0,marabou,MNIST_P75_N17 N17 0.004,True,1,1
2869,,mnist,0.002,N17,MNIST_P40_N17,unsat,53.4296,2869.0,marabou,MNIST_P40_N17 N17 0.002,True,1,1
2906,,mnist,0.002,N26,MNIST_P17_N26,unsat,10.5882,2906.0,marabou,MNIST_P17_N26 N26 0.002,True,1,1
11954,,mnist,0.005,N17,MNIST_P12_N17,unsat,55.5344,3154.0,marabou,MNIST_P12_N17 N17 0.005,True,1,1
9363,,mnist,0.008,N17,MNIST_P24_N17,unsat,54.4671,563.0,marabou,MNIST_P24_N17 N17 0.008,True,1,1
12704,,mnist,0.008,N17,MNIST_P77_N17,unsat,53.706,3904.0,marabou,MNIST_P77_N17 N17 0.008,True,1,1
10852,,mnist,0.005,N17,MNIST_P1_N17,unsat,53.9137,2052.0,marabou,MNIST_P1_N17 N17 0.005,True,1,1
7234,,mnist,0.004,N17,MNIST_P72_N17,unsat,54.3517,2834.0,marabou,MNIST_P72_N17 N17 0.004,True,1,1
9215,,mnist,0.008,N17,MNIST_P95_N17,unsat,54.5794,415.0,marabou,MNIST_P95_N17 N17 0.008,True,1,1
7248,,mnist,0.004,N17,MNIST_P30_N17,unsat,60.5273,2848.0,marabou,MNIST_P30_N17 N17 0.004,True,1,1
