,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
13204,,mnist,0.006,N33,MNIST_P40_N33,unsat,116.1857,4.0,verinet,MNIST_P40_N33 N33 0.006,True,1,1
6023,,mnist,0.012,N12,MNIST_P81_N12,unsat,71.7179,1623.0,verinet,MNIST_P81_N12 N12 0.012,True,1,1
6062,,mnist,0.012,N12,MNIST_P92_N12,sat,19.6722,1662.0,verinet,MNIST_P92_N12 N12 0.012,True,1,1
6099,,mnist,0.012,N22,MNIST_P84_N22,unsat,58.6455,1699.0,verinet,MNIST_P84_N22 N22 0.012,True,1,1
6101,,mnist,0.012,N22,MNIST_P29_N22,unsat,60.824,1701.0,verinet,MNIST_P29_N22 N22 0.012,True,1,1
6108,,mnist,0.012,N22,MNIST_P18_N22,unsat,113.04,1708.0,verinet,MNIST_P18_N22 N22 0.012,True,1,1
6125,,mnist,0.012,N22,MNIST_P54_N22,unsat,112.9338,1725.0,verinet,MNIST_P54_N22 N22 0.012,True,1,1
6133,,mnist,0.012,N33,MNIST_P82_N33,unsat,91.9317,1733.0,verinet,MNIST_P82_N33 N33 0.012,True,1,1
6146,,mnist,0.012,N12,MNIST_P76_N12,unsat,92.5881,1746.0,verinet,MNIST_P76_N12 N12 0.012,True,1,1
6202,,mnist,0.012,N12,MNIST_P45_N12,unsat,71.5867,1802.0,verinet,MNIST_P45_N12 N12 0.012,True,1,1
6235,,mnist,0.012,N33,MNIST_P16_N33,unsat,62.203,1835.0,verinet,MNIST_P16_N33 N33 0.012,True,1,1
6239,,mnist,0.012,N12,MNIST_P28_N12,unsat,62.8979,1839.0,verinet,MNIST_P28_N12 N12 0.012,True,1,1
6257,,mnist,0.012,N12,MNIST_P68_N12,unsat,58.934,1857.0,verinet,MNIST_P68_N12 N12 0.012,True,1,1
6276,,mnist,0.012,N12,MNIST_P16_N12,unsat,59.0219,1876.0,verinet,MNIST_P16_N12 N12 0.012,True,1,1
6304,,mnist,0.012,N22,MNIST_P58_N22,unsat,59.777,1904.0,verinet,MNIST_P58_N22 N22 0.012,True,1,1
6382,,mnist,0.012,N12,MNIST_P86_N12,unsat,59.2061,1982.0,verinet,MNIST_P86_N12 N12 0.012,True,1,1
6389,,mnist,0.012,N22,MNIST_P43_N22,unsat,60.8548,1989.0,verinet,MNIST_P43_N22 N22 0.012,True,1,1
6448,,mnist,0.012,N12,MNIST_P34_N12,unsat,58.7641,2048.0,verinet,MNIST_P34_N12 N12 0.012,True,1,1
6456,,mnist,0.012,N22,MNIST_P41_N22,unsat,60.3579,2056.0,verinet,MNIST_P41_N22 N22 0.012,True,1,1
6464,,mnist,0.012,N12,MNIST_P70_N12,unsat,60.4069,2064.0,verinet,MNIST_P70_N12 N12 0.012,True,1,1
6465,,mnist,0.012,N22,MNIST_P80_N22,sat,13.6013,2065.0,verinet,MNIST_P80_N22 N22 0.012,True,1,1
6466,,mnist,0.012,N22,MNIST_P44_N22,unsat,61.123,2066.0,verinet,MNIST_P44_N22 N22 0.012,True,1,1
6509,,mnist,0.012,N22,MNIST_P38_N22,unsat,60.032,2109.0,verinet,MNIST_P38_N22 N22 0.012,True,1,1
6521,,mnist,0.012,N12,MNIST_P4_N12,unsat,59.1126,2121.0,verinet,MNIST_P4_N12 N12 0.012,True,1,1
6530,,mnist,0.012,N33,MNIST_P30_N33,unsat,58.9546,2130.0,verinet,MNIST_P30_N33 N33 0.012,True,1,1
6561,,mnist,0.012,N22,MNIST_P3_N22,unsat,60.8071,2161.0,verinet,MNIST_P3_N22 N22 0.012,True,1,1
