,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
39610,,mnist,0.025,N5,MNIST_P94_N5,unsat,74.7495,10.0,verinet,MNIST_P94_N5 N5 0.025,True,1,1
18571,,mnist,0.004,N48,MNIST_P46_N48,unsat,84.0465,971.0,verinet,MNIST_P46_N48 N48 0.004,True,1,1
18579,,mnist,0.004,N18,MNIST_P52_N18,unsat,74.0842,979.0,verinet,MNIST_P52_N18 N18 0.004,True,1,1
18584,,mnist,0.004,N49,MNIST_P77_N49,unsat,74.1775,984.0,verinet,MNIST_P77_N49 N49 0.004,True,1,1
18586,,mnist,0.004,N5,MNIST_P49_N5,unsat,63.8536,986.0,verinet,MNIST_P49_N5 N5 0.004,True,1,1
18607,,mnist,0.004,N49,MNIST_P88_N49,unsat,80.8572,1007.0,verinet,MNIST_P88_N49 N49 0.004,True,1,1
18608,,mnist,0.004,N18,MNIST_P71_N18,unsat,67.8069,1008.0,verinet,MNIST_P71_N18 N18 0.004,True,1,1
18609,,mnist,0.004,N18,MNIST_P88_N18,unsat,71.14,1009.0,verinet,MNIST_P88_N18 N18 0.004,True,1,1
18611,,mnist,0.004,N15,MNIST_P40_N15,sat,7.416,1011.0,verinet,MNIST_P40_N15 N15 0.004,True,1,1
18614,,mnist,0.004,N18,MNIST_P58_N18,unsat,70.5145,1014.0,verinet,MNIST_P58_N18 N18 0.004,True,1,1
18646,,mnist,0.004,N14,MNIST_P22_N14,unsat,74.8127,1046.0,verinet,MNIST_P22_N14 N14 0.004,True,1,1
18647,,mnist,0.004,N18,MNIST_P36_N18,unsat,66.2859,1047.0,verinet,MNIST_P36_N18 N18 0.004,True,1,1
18659,,mnist,0.004,N49,MNIST_P0_N49,unsat,73.1654,1059.0,verinet,MNIST_P0_N49 N49 0.004,True,1,1
18661,,mnist,0.004,N48,MNIST_P19_N48,unsat,72.6312,1061.0,verinet,MNIST_P19_N48 N48 0.004,True,1,1
18662,,mnist,0.004,N14,MNIST_P13_N14,unsat,71.1296,1062.0,verinet,MNIST_P13_N14 N14 0.004,True,1,1
18684,,mnist,0.004,N49,MNIST_P6_N49,unsat,73.8292,1084.0,verinet,MNIST_P6_N49 N49 0.004,True,1,1
18706,,mnist,0.004,N15,MNIST_P60_N15,unsat,59.8128,1106.0,verinet,MNIST_P60_N15 N15 0.004,True,1,1
18576,,mnist,0.004,N48,MNIST_P49_N48,unsat,82.4577,976.0,verinet,MNIST_P49_N48 N48 0.004,True,1,1
18560,,mnist,0.004,N49,MNIST_P55_N49,unsat,83.0004,960.0,verinet,MNIST_P55_N49 N49 0.004,True,1,1
18426,,mnist,0.004,N5,MNIST_P33_N5,sat,9.9532,826.0,verinet,MNIST_P33_N5 N5 0.004,True,1,1
18551,,mnist,0.004,N14,MNIST_P25_N14,unsat,81.3149,951.0,verinet,MNIST_P25_N14 N14 0.004,True,1,1
18432,,mnist,0.004,N5,MNIST_P80_N5,unsat,66.0163,832.0,verinet,MNIST_P80_N5 N5 0.004,True,1,1
18443,,mnist,0.004,N48,MNIST_P73_N48,sat,17.0354,843.0,verinet,MNIST_P73_N48 N48 0.004,True,1,1
18452,,mnist,0.004,N15,MNIST_P33_N15,unsat,68.0525,852.0,verinet,MNIST_P33_N15 N15 0.004,True,1,1
18455,,mnist,0.004,N5,MNIST_P81_N5,unsat,70.8959,855.0,verinet,MNIST_P81_N5 N5 0.004,True,1,1
18470,,mnist,0.004,N5,MNIST_P91_N5,unsat,75.1828,870.0,verinet,MNIST_P91_N5 N5 0.004,True,1,1
18493,,mnist,0.004,N5,MNIST_P55_N5,unsat,69.4473,893.0,verinet,MNIST_P55_N5 N5 0.004,True,1,1
18499,,mnist,0.004,N48,MNIST_P18_N48,unsat,81.5004,899.0,verinet,MNIST_P18_N48 N48 0.004,True,1,1
18509,,mnist,0.004,N48,MNIST_P79_N48,unsat,78.4954,909.0,verinet,MNIST_P79_N48 N48 0.004,True,1,1
18514,,mnist,0.004,N14,MNIST_P45_N14,unsat,76.7617,914.0,verinet,MNIST_P45_N14 N14 0.004,True,1,1
18533,,mnist,0.004,N48,MNIST_P11_N48,unsat,83.2789,933.0,verinet,MNIST_P11_N48 N48 0.004,True,1,1
18536,,mnist,0.004,N48,MNIST_P34_N48,unsat,85.7842,936.0,verinet,MNIST_P34_N48 N48 0.004,True,1,1
18537,,mnist,0.004,N5,MNIST_P38_N5,unsat,74.3788,937.0,verinet,MNIST_P38_N5 N5 0.004,True,1,1
18539,,mnist,0.004,N48,MNIST_P59_N48,unsat,86.9626,939.0,verinet,MNIST_P59_N48 N48 0.004,True,1,1
18547,,mnist,0.004,N49,MNIST_P32_N49,unsat,77.2796,947.0,verinet,MNIST_P32_N49 N49 0.004,True,1,1
