,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
39,,,0.002,0.0,cifar_conv_maxpool.onnx,unsat,27.235,3700.0,,eran,0.0 cifar_conv_maxpool.onnx 0.002,1,1,True
8347,,,0.002,66.0,cifar_conv_maxpool.onnx,unsat,498.426,3766.0,,eran,66.0 cifar_conv_maxpool.onnx 0.002,1,1,True
9668,,,0.002,75.0,cifar_conv_maxpool.onnx,unsat,556.502,3775.0,,eran,75.0 cifar_conv_maxpool.onnx 0.002,1,1,True
9536,,,0.002,74.0,cifar_conv_maxpool.onnx,unsat,28.685,3774.0,,eran,74.0 cifar_conv_maxpool.onnx 0.002,1,1,True
9402,,,0.002,73.0,cifar_conv_maxpool.onnx,unsat,610.026,3773.0,,eran,73.0 cifar_conv_maxpool.onnx 0.002,1,1,True
9272,,,0.002,72.0,cifar_conv_maxpool.onnx,unsat,645.494,3772.0,,eran,72.0 cifar_conv_maxpool.onnx 0.002,1,1,True
9139,,,0.002,71.0,cifar_conv_maxpool.onnx,unsat,15.711,3771.0,,eran,71.0 cifar_conv_maxpool.onnx 0.002,1,1,True
9007,,,0.002,70.0,cifar_conv_maxpool.onnx,unsat,20.465,3770.0,,eran,70.0 cifar_conv_maxpool.onnx 0.002,1,1,True
8875,,,0.002,7.0,cifar_conv_maxpool.onnx,unsat,613.408,3707.0,,eran,7.0 cifar_conv_maxpool.onnx 0.002,1,1,True
8744,,,0.002,69.0,cifar_conv_maxpool.onnx,unsat,28.096,3769.0,,eran,69.0 cifar_conv_maxpool.onnx 0.002,1,1,True
8611,,,0.002,68.0,cifar_conv_maxpool.onnx,unsat,26.872,3768.0,,eran,68.0 cifar_conv_maxpool.onnx 0.002,1,1,True
8478,,,0.002,67.0,cifar_conv_maxpool.onnx,unsat,441.235,3767.0,,eran,67.0 cifar_conv_maxpool.onnx 0.002,1,1,True
8216,,,0.002,65.0,cifar_conv_maxpool.onnx,unsat,25.133,3765.0,,eran,65.0 cifar_conv_maxpool.onnx 0.002,1,1,True
173,,,0.002,1.0,cifar_conv_maxpool.onnx,unsat,492.858,3701.0,,eran,1.0 cifar_conv_maxpool.onnx 0.002,1,1,True
8082,,,0.002,64.0,cifar_conv_maxpool.onnx,unsat,24.556,3764.0,,eran,64.0 cifar_conv_maxpool.onnx 0.002,1,1,True
