,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
13166,,CIFAR,0.002,99.0,ffnnRELU__Point_6_500.onnx,unsat,1.5685071945190432,2816.0,99.0,bab,99.0 ffnnRELU__Point_6_500.onnx 0.002,1,1,True
6643,,,0.002,54.0,cifar_wide_kw.onnx,unsat,2.054,1754.0,,eran,54.0 cifar_wide_kw.onnx 0.002,1,1,True
6654,,CIFAR,0.002,54.0,convMedGRELU__PGDK_w_0.0078.onnx,unsat,3.198896169662476,1606.0,54.0,bab,54.0 convMedGRELU__PGDK_w_0.0078.onnx 0.002,1,1,True
6653,,CIFAR,0.002,54.0,convBigRELU__PGD.onnx,unsat,97.10195398330688,1554.0,54.0,bab,54.0 convBigRELU__PGD.onnx 0.002,1,1,True
6652,,,0.002,54.0,convBigRELU__PGD.onnx,unsat,72.952,854.0,,eran,54.0 convBigRELU__PGD.onnx 0.002,1,1,True
11271,,,0.002,86.0,convBigRELU__PGD.onnx,unsat,71.361,886.0,,eran,86.0 convBigRELU__PGD.onnx 0.002,1,1,True
11272,,CIFAR,0.002,86.0,convBigRELU__PGD.onnx,unsat,102.47255778312685,2486.0,86.0,bab,86.0 convBigRELU__PGD.onnx 0.002,1,1,True
6646,,CIFAR,0.002,54.0,cifar_wide_kw_simp.onnx,unsat,2.29660964012146,1541.0,54.0,bab,54.0 cifar_wide_kw_simp.onnx 0.002,1,1,True
6645,,,0.002,54.0,cifar_wide_kw_simp.onnx,unsat,2.022,54.0,,eran,54.0 cifar_wide_kw_simp.onnx 0.002,1,1,True
6644,,,0.002,54.0,cifar_wide_kw.onnx,unsat/sat,1.3204472064971924,54.0,54.0,abcrown,54.0 cifar_wide_kw.onnx 0.002,1,1,True
6642,,CIFAR,0.002,54.0,cifar_wide_kw.onnx,unsat,2.398549318313598,1538.0,54.0,bab,54.0 cifar_wide_kw.onnx 0.002,1,1,True
6657,,CIFAR,0.002,54.0,convMedGRELU__PGDK_w_0.0313.onnx,unsat,3.0921878814697266,1608.0,54.0,bab,54.0 convMedGRELU__PGDK_w_0.0313.onnx 0.002,1,1,True
6640,,CIFAR,0.002,54.0,cifar_net.onnx,sat,1.1896376609802246,1534.0,54.0,bab,54.0 cifar_net.onnx 0.002,1,1,True
6639,,,0.002,54.0,cifar_net.onnx,unsat,0.541,1354.0,,eran,54.0 cifar_net.onnx 0.002,1,1,True
11274,,CIFAR,0.002,86.0,convMedGRELU__PGDK_w_0.0078.onnx,sat,4.100898504257201,2488.0,86.0,bab,86.0 convMedGRELU__PGDK_w_0.0078.onnx 0.002,1,1,True
6637,,CIFAR,0.002,54.0,cifar_deep_kw_simp.onnx,sat,4.370753765106201,1528.0,54.0,bab,54.0 cifar_deep_kw_simp.onnx 0.002,1,1,True
6636,,,0.002,54.0,cifar_deep_kw_simp.onnx,unsat,2.347,1954.0,,eran,54.0 cifar_deep_kw_simp.onnx 0.002,1,1,True
6635,,CIFAR,0.002,54.0,cifar_deep_kw.onnx,sat,4.3242363929748535,1527.0,54.0,bab,54.0 cifar_deep_kw.onnx 0.002,1,1,True
6634,,,0.002,54.0,cifar_deep_kw.onnx,unsat,2.344,1054.0,,eran,54.0 cifar_deep_kw.onnx 0.002,1,1,True
6633,,,0.002,54.0,cifar_deep_kw.onnx,unsat/sat,1.93843960762024,254.0,254.0,abcrown,54.0 cifar_deep_kw.onnx 0.002,1,1,True
6655,,,0.002,54.0,convMedGRELU__PGDK_w_0.0078.onnx,unsat,9.084,2354.0,,eran,54.0 convMedGRELU__PGDK_w_0.0078.onnx 0.002,1,1,True
11266,,CIFAR,0.002,86.0,cifar_wide_kw_simp.onnx,unsat,2.239094018936157,2465.0,86.0,bab,86.0 cifar_wide_kw_simp.onnx 0.002,1,1,True
6698,,,0.002,54.0,ffnnRELU__Point_6_500.onnx,unsat,22.469,1854.0,,eran,54.0 ffnnRELU__Point_6_500.onnx 0.002,1,1,True
11263,,CIFAR,0.002,86.0,cifar_wide_kw.onnx,unsat,2.387480974197388,2460.0,86.0,bab,86.0 cifar_wide_kw.onnx 0.002,1,1,True
11261,,,0.002,86.0,cifar_net.onnx,unsat,7.825,1386.0,,eran,86.0 cifar_net.onnx 0.002,1,1,True
6694,,,0.002,54.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,unsat,21.215,2054.0,,eran,54.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.002,1,1,True
6693,,CIFAR,0.002,54.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,unsat,1.642519474029541,1542.0,54.0,bab,54.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.002,1,1,True
6692,,,0.002,54.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,sat,221.933,3254.0,,eran,54.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.002,1,1,True
6691,,CIFAR,0.002,54.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,unsat,1.8339159488677976,1539.0,54.0,bab,54.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.002,1,1,True
11262,,,0.002,86.0,cifar_wide_kw.onnx,unsat,1.877,1786.0,,eran,86.0 cifar_wide_kw.onnx 0.002,1,1,True
6689,,CIFAR,0.002,54.0,convSmallRELU__Point.onnx,unsat,1.4988059997558594,1536.0,54.0,bab,54.0 convSmallRELU__Point.onnx 0.002,1,1,True
6688,,,0.002,54.0,convSmallRELU__Point.onnx,unsat,2.181,3154.0,,eran,54.0 convSmallRELU__Point.onnx 0.002,1,1,True
6686,,,0.002,54.0,convSmallRELU__PGDK.onnx,unsat/sat,1.3227245807647705,394.0,394.0,abcrown,54.0 convSmallRELU__PGDK.onnx 0.002,1,1,True
6659,,,0.002,54.0,convMedGRELU__PGDK_w_0.0313.onnx,unsat,8.999,1254.0,,eran,54.0 convMedGRELU__PGDK_w_0.0313.onnx 0.002,1,1,True
6685,,CIFAR,0.002,54.0,convSmallRELU__PGDK.onnx,unsat,1.4530999660491943,1533.0,54.0,bab,54.0 convSmallRELU__PGDK.onnx 0.002,1,1,True
6684,,,0.002,54.0,convSmallRELU__PGDK.onnx,unsat,1.947,1554.0,,eran,54.0 convSmallRELU__PGDK.onnx 0.002,1,1,True
6683,,CIFAR,0.002,54.0,convSmallRELU__DiffAI.onnx,unsat,1.4994409084320068,1531.0,54.0,bab,54.0 convSmallRELU__DiffAI.onnx 0.002,1,1,True
6682,,,0.002,54.0,convSmallRELU__DiffAI.onnx,unsat,1.308,3054.0,,eran,54.0 convSmallRELU__DiffAI.onnx 0.002,1,1,True
11264,,,0.002,86.0,cifar_wide_kw.onnx,unsat/sat,1.332528829574585,86.0,86.0,abcrown,86.0 cifar_wide_kw.onnx 0.002,1,1,True
6662,,CIFAR,0.002,54.0,convMedGRELU__Point.onnx,unsat,3.127047777175904,1610.0,54.0,bab,54.0 convMedGRELU__Point.onnx 0.002,1,1,True
11265,,,0.002,86.0,cifar_wide_kw_simp.onnx,unsat,1.864,86.0,,eran,86.0 cifar_wide_kw_simp.onnx 0.002,1,1,True
6660,,,0.002,54.0,convMedGRELU__Point.onnx,unsat,9.595,654.0,,eran,54.0 convMedGRELU__Point.onnx 0.002,1,1,True
6628,,,0.002,54.0,cifar_base_kw_simp.onnx,unsat,0.951,2954.0,,eran,54.0 cifar_base_kw_simp.onnx 0.002,1,1,True
