,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
81,,,0.002,0.0,convMedGTANH__PGDK_w_0.0078.onnx,unsat,8.579,1100.0,,eran,0.0 convMedGTANH__PGDK_w_0.0078.onnx 0.002,1,1,True
8693,,,0.002,68.0,ffnnTANH__PGDK_w_0.0313_6_500.onnx,unsat,4.145,2568.0,,eran,68.0 ffnnTANH__PGDK_w_0.0313_6_500.onnx 0.002,1,1,True
8784,,,0.002,69.0,convMedGTANH__PGDK_w_0.0078.onnx,unsat,1.531,1169.0,,eran,69.0 convMedGTANH__PGDK_w_0.0078.onnx 0.002,1,1,True
8787,,,0.002,69.0,convMedGTANH__PGDK_w_0.0313.onnx,unsat,1.529,2669.0,,eran,69.0 convMedGTANH__PGDK_w_0.0313.onnx 0.002,1,1,True
8790,,,0.002,69.0,convMedGTANH__Point.onnx,unsat,35.814,169.0,,eran,69.0 convMedGTANH__Point.onnx 0.002,1,1,True
8821,,,0.002,69.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,4.276,3669.0,,eran,69.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.002,1,1,True
8825,,,0.002,69.0,ffnnTANH__PGDK_w_0.0313_6_500.onnx,unsat,3.94,2569.0,,eran,69.0 ffnnTANH__PGDK_w_0.0313_6_500.onnx 0.002,1,1,True
8827,,,0.002,69.0,ffnnTANH__Point_6_500.onnx,unsat,4.174,769.0,,eran,69.0 ffnnTANH__Point_6_500.onnx 0.002,1,1,True
8918,,,0.002,7.0,convMedGTANH__PGDK_w_0.0078.onnx,unsat,1.259,1107.0,,eran,7.0 convMedGTANH__PGDK_w_0.0078.onnx 0.002,1,1,True
8921,,,0.002,7.0,convMedGTANH__PGDK_w_0.0313.onnx,unsat,1.173,2607.0,,eran,7.0 convMedGTANH__PGDK_w_0.0313.onnx 0.002,1,1,True
8922,,,0.002,7.0,convMedGTANH__Point.onnx,unsat,39.971,107.0,,eran,7.0 convMedGTANH__Point.onnx 0.002,1,1,True
8953,,,0.002,7.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,3.69,3607.0,,eran,7.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.002,1,1,True
8957,,,0.002,7.0,ffnnTANH__PGDK_w_0.0313_6_500.onnx,unsat,3.92,2507.0,,eran,7.0 ffnnTANH__PGDK_w_0.0313_6_500.onnx 0.002,1,1,True
8960,,,0.002,7.0,ffnnTANH__Point_6_500.onnx,unsat,3.63,707.0,,eran,7.0 ffnnTANH__Point_6_500.onnx 0.002,1,1,True
9049,,,0.002,70.0,convMedGTANH__PGDK_w_0.0078.onnx,unsat,34.989,1170.0,,eran,70.0 convMedGTANH__PGDK_w_0.0078.onnx 0.002,1,1,True
9052,,,0.002,70.0,convMedGTANH__PGDK_w_0.0313.onnx,unsat,36.546,2670.0,,eran,70.0 convMedGTANH__PGDK_w_0.0313.onnx 0.002,1,1,True
9056,,,0.002,70.0,convMedGTANH__Point.onnx,unsat,38.975,170.0,,eran,70.0 convMedGTANH__Point.onnx 0.002,1,1,True
8694,,,0.002,68.0,ffnnTANH__Point_6_500.onnx,unsat,3.244,768.0,,eran,68.0 ffnnTANH__Point_6_500.onnx 0.002,1,1,True
8688,,,0.002,68.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,4.094,3668.0,,eran,68.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.002,1,1,True
9088,,,0.002,70.0,ffnnTANH__PGDK_w_0.0313_6_500.onnx,unsat,3.877,2570.0,,eran,70.0 ffnnTANH__PGDK_w_0.0313_6_500.onnx 0.002,1,1,True
8658,,,0.002,68.0,convMedGTANH__Point.onnx,unsat,1.286,168.0,,eran,68.0 convMedGTANH__Point.onnx 0.002,1,1,True
8300,,,0.002,65.0,ffnnTANH__Point_6_500.onnx,unsat,3.692,765.0,,eran,65.0 ffnnTANH__Point_6_500.onnx 0.002,1,1,True
8388,,,0.002,66.0,convMedGTANH__PGDK_w_0.0078.onnx,unsat,38.506,1166.0,,eran,66.0 convMedGTANH__PGDK_w_0.0078.onnx 0.002,1,1,True
