,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
3,,MNIST,0.002,0.0,Convnet_maxpool.onnx,unsat,60.53660416603088,2.0,0.0,bab,0.0 Convnet_maxpool.onnx 0.002,1,1,True
3217,,MNIST,0.002,55.0,Convnet_maxpool.onnx,unsat,61.77984404563904,937.0,55.0,bab,55.0 Convnet_maxpool.onnx 0.002,1,1,True
4100,,MNIST,0.002,68.0,Convnet_maxpool.onnx,unsat,62.73160219192505,1158.0,68.0,bab,68.0 Convnet_maxpool.onnx 0.002,1,1,True
4037,,MNIST,0.002,67.0,Convnet_maxpool.onnx,unsat,62.43454551696777,1141.0,67.0,bab,67.0 Convnet_maxpool.onnx 0.002,1,1,True
3972,,MNIST,0.002,66.0,Convnet_maxpool.onnx,unsat,61.209343910217285,1124.0,66.0,bab,66.0 Convnet_maxpool.onnx 0.002,1,1,True
3911,,MNIST,0.002,65.0,Convnet_maxpool.onnx,unsat,62.59463667869568,1107.0,65.0,bab,65.0 Convnet_maxpool.onnx 0.002,1,1,True
3848,,MNIST,0.002,64.0,Convnet_maxpool.onnx,unsat,62.08890438079834,1090.0,64.0,bab,64.0 Convnet_maxpool.onnx 0.002,1,1,True
3784,,MNIST,0.002,63.0,Convnet_maxpool.onnx,unsat,62.377625226974494,1073.0,63.0,bab,63.0 Convnet_maxpool.onnx 0.002,1,1,True
3720,,MNIST,0.002,62.0,Convnet_maxpool.onnx,sat,62.10319566726685,1056.0,62.0,bab,62.0 Convnet_maxpool.onnx 0.002,1,1,True
3657,,MNIST,0.002,61.0,Convnet_maxpool.onnx,unsat,61.02183747291565,1039.0,61.0,bab,61.0 Convnet_maxpool.onnx 0.002,1,1,True
3596,,MNIST,0.002,60.0,Convnet_maxpool.onnx,unsat,62.52254605293274,1022.0,60.0,bab,60.0 Convnet_maxpool.onnx 0.002,1,1,True
3533,,MNIST,0.002,6.0,Convnet_maxpool.onnx,unsat,61.25524115562439,104.0,6.0,bab,6.0 Convnet_maxpool.onnx 0.002,1,1,True
3468,,MNIST,0.002,59.0,Convnet_maxpool.onnx,unsat,60.95973563194275,1005.0,59.0,bab,59.0 Convnet_maxpool.onnx 0.002,1,1,True
3407,,MNIST,0.002,58.0,Convnet_maxpool.onnx,unsat,61.58721137046814,988.0,58.0,bab,58.0 Convnet_maxpool.onnx 0.002,1,1,True
3344,,MNIST,0.002,57.0,Convnet_maxpool.onnx,unsat,60.34957194328308,971.0,57.0,bab,57.0 Convnet_maxpool.onnx 0.002,1,1,True
3280,,MNIST,0.002,56.0,Convnet_maxpool.onnx,unsat,62.74168014526367,954.0,56.0,bab,56.0 Convnet_maxpool.onnx 0.002,1,1,True
3155,,MNIST,0.002,54.0,Convnet_maxpool.onnx,unsat,61.80804538726807,920.0,54.0,bab,54.0 Convnet_maxpool.onnx 0.002,1,1,True
2145,,MNIST,0.002,4.0,Convnet_maxpool.onnx,unsat,61.49214625358582,70.0,4.0,bab,4.0 Convnet_maxpool.onnx 0.002,1,1,True
3092,,MNIST,0.002,53.0,Convnet_maxpool.onnx,unsat,61.47338843345642,903.0,53.0,bab,53.0 Convnet_maxpool.onnx 0.002,1,1,True
3028,,MNIST,0.002,52.0,Convnet_maxpool.onnx,unsat,61.058281898498535,886.0,52.0,bab,52.0 Convnet_maxpool.onnx 0.002,1,1,True
2965,,MNIST,0.002,51.0,Convnet_maxpool.onnx,unsat,62.81980180740357,869.0,51.0,bab,51.0 Convnet_maxpool.onnx 0.002,1,1,True
2901,,MNIST,0.002,50.0,Convnet_maxpool.onnx,unsat,61.24988603591919,852.0,50.0,bab,50.0 Convnet_maxpool.onnx 0.002,1,1,True
2840,,MNIST,0.002,5.0,Convnet_maxpool.onnx,unsat,61.14768671989441,87.0,5.0,bab,5.0 Convnet_maxpool.onnx 0.002,1,1,True
2777,,MNIST,0.002,49.0,Convnet_maxpool.onnx,unsat,61.21817040443421,835.0,49.0,bab,49.0 Convnet_maxpool.onnx 0.002,1,1,True
2712,,MNIST,0.002,48.0,Convnet_maxpool.onnx,unsat,61.18989086151123,818.0,48.0,bab,48.0 Convnet_maxpool.onnx 0.002,1,1,True
2651,,MNIST,0.002,47.0,Convnet_maxpool.onnx,unsat,61.005858659744256,801.0,47.0,bab,47.0 Convnet_maxpool.onnx 0.002,1,1,True
2586,,MNIST,0.002,46.0,Convnet_maxpool.onnx,unsat,62.2206335067749,784.0,46.0,bab,46.0 Convnet_maxpool.onnx 0.002,1,1,True
2525,,MNIST,0.002,45.0,Convnet_maxpool.onnx,unsat,61.19218111038208,767.0,45.0,bab,45.0 Convnet_maxpool.onnx 0.002,1,1,True
2460,,MNIST,0.002,44.0,Convnet_maxpool.onnx,unsat,62.46183347702026,750.0,44.0,bab,44.0 Convnet_maxpool.onnx 0.002,1,1,True
2398,,MNIST,0.002,43.0,Convnet_maxpool.onnx,unsat,63.65224504470825,733.0,43.0,bab,43.0 Convnet_maxpool.onnx 0.002,1,1,True
2336,,MNIST,0.002,42.0,Convnet_maxpool.onnx,unsat,61.54300618171692,716.0,42.0,bab,42.0 Convnet_maxpool.onnx 0.002,1,1,True
2272,,MNIST,0.002,41.0,Convnet_maxpool.onnx,unsat,62.849364519119256,699.0,41.0,bab,41.0 Convnet_maxpool.onnx 0.002,1,1,True
4161,,MNIST,0.002,69.0,Convnet_maxpool.onnx,unsat,62.59948134422302,1175.0,69.0,bab,69.0 Convnet_maxpool.onnx 0.002,1,1,True
4224,,MNIST,0.002,7.0,Convnet_maxpool.onnx,unsat,63.99256849288941,121.0,7.0,bab,7.0 Convnet_maxpool.onnx 0.002,1,1,True
4289,,MNIST,0.002,70.0,Convnet_maxpool.onnx,unsat,61.22543525695801,1192.0,70.0,bab,70.0 Convnet_maxpool.onnx 0.002,1,1,True
4351,,MNIST,0.002,71.0,Convnet_maxpool.onnx,unsat,62.00708556175232,1209.0,71.0,bab,71.0 Convnet_maxpool.onnx 0.002,1,1,True
6177,,MNIST,0.002,98.0,Convnet_maxpool.onnx,unsat,61.01277756690979,1668.0,98.0,bab,98.0 Convnet_maxpool.onnx 0.002,1,1,True
6115,,MNIST,0.002,97.0,Convnet_maxpool.onnx,unsat,60.936758518218994,1651.0,97.0,bab,97.0 Convnet_maxpool.onnx 0.002,1,1,True
