,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
2223,,MNIST,0.002,40.0,mnist_3_50.onnx,unsat,0.0905115604400634,689.0,40.0,bab,40.0 mnist_3_50.onnx 0.002,1,1,True
2482,,MNIST,0.002,44.0,mnist_5_100.onnx,unsat,0.1303815841674804,759.0,44.0,bab,44.0 mnist_5_100.onnx 0.002,1,1,True
2485,,MNIST,0.002,44.0,mnist_6_100.onnx,unsat,0.1459808349609375,760.0,44.0,bab,44.0 mnist_6_100.onnx 0.002,1,1,True
2486,,,0.002,44.0,mnist_6_100.onnx,unsat/sat,1.3670270442962646,44.0,44.0,abcrown,44.0 mnist_6_100.onnx 0.002,1,1,True
2487,,,0.002,44.0,mnist_6_200.onnx,unsat/sat,1.3833155632019043,144.0,144.0,abcrown,44.0 mnist_6_200.onnx 0.002,1,1,True
4623,,MNIST,0.002,75.0,mnist_5_100.onnx,unsat,0.1215717792510986,1286.0,75.0,bab,75.0 mnist_5_100.onnx 0.002,1,1,True
2489,,MNIST,0.002,44.0,mnist_6_200.onnx,unsat,0.1893115043640136,761.0,44.0,bab,44.0 mnist_6_200.onnx 0.002,1,1,True
2490,,MNIST,0.002,44.0,mnist_9_100.onnx,unsat,0.1623034477233886,762.0,44.0,bab,44.0 mnist_9_100.onnx 0.002,1,1,True
2491,,,0.002,44.0,mnist_9_100.onnx,unsat/sat,2.147669076919556,244.0,244.0,abcrown,44.0 mnist_9_100.onnx 0.002,1,1,True
5253,,MNIST,0.002,84.0,mnist_5_100.onnx,unsat,0.1363000869750976,1439.0,84.0,bab,84.0 mnist_5_100.onnx 0.002,1,1,True
5252,,MNIST,0.002,84.0,mnist_4_1024.onnx,unsat,0.5192172527313232,1438.0,84.0,bab,84.0 mnist_4_1024.onnx 0.002,1,1,True
2494,,,0.002,44.0,mnist_9_200.onnx,unsat/sat,1.9098165035247805,344.0,344.0,abcrown,44.0 mnist_9_200.onnx 0.002,1,1,True
2495,,MNIST,0.002,44.0,mnist_9_200.onnx,unsat,0.2467589378356933,763.0,44.0,bab,44.0 mnist_9_200.onnx 0.002,1,1,True
2502,,,0.002,44.0,mnist_net.onnx,unsat,0.1,44.0,,eran,44.0 mnist_net.onnx 0.002,1,1,True
2503,,MNIST,0.002,44.0,mnist_net.onnx,unsat,0.1703965663909912,749.0,44.0,bab,44.0 mnist_net.onnx 0.002,1,1,True
2505,,MNIST,0.002,44.0,mnist_net_256x2.onnx,unsat,0.1135764122009277,751.0,44.0,bab,44.0 mnist_net_256x2.onnx 0.002,1,1,True
2506,,,0.002,44.0,mnist_net_256x2.onnx,unsat,0.048,744.0,,eran,44.0 mnist_net_256x2.onnx 0.002,1,1,True
3990,,MNIST,0.002,66.0,mnist_4_1024.onnx,unsat,0.5202517509460449,1132.0,66.0,bab,66.0 mnist_4_1024.onnx 0.002,1,1,True
2508,,MNIST,0.002,44.0,mnist_net_256x4.onnx,unsat,0.2166471481323242,752.0,44.0,bab,44.0 mnist_net_256x4.onnx 0.002,1,1,True
5256,,MNIST,0.002,84.0,mnist_6_100.onnx,unsat,0.1284263134002685,1440.0,84.0,bab,84.0 mnist_6_100.onnx 0.002,1,1,True
3994,,MNIST,0.002,66.0,mnist_5_100.onnx,unsat,0.1285250186920166,1133.0,66.0,bab,66.0 mnist_5_100.onnx 0.002,1,1,True
2448,,,0.002,43.0,mnist_net_256x6.onnx,unsat,0.518,243.0,,eran,43.0 mnist_net_256x6.onnx 0.002,1,1,True
2480,,MNIST,0.002,44.0,mnist_4_1024.onnx,unsat,0.5206170082092285,758.0,44.0,bab,44.0 mnist_4_1024.onnx 0.002,1,1,True
3997,,,0.002,66.0,mnist_6_100.onnx,unsat/sat,1.33565092086792,66.0,66.0,abcrown,66.0 mnist_6_100.onnx 0.002,1,1,True
5266,,,0.002,84.0,mnist_9_200.onnx,unsat/sat,1.9949045181274407,384.0,384.0,abcrown,84.0 mnist_9_200.onnx 0.002,1,1,True
2452,,MNIST,0.002,43.0,mnist_nn.onnx,sat,0.1162202358245849,738.0,43.0,bab,43.0 mnist_nn.onnx 0.002,1,1,True
2453,,,0.002,43.0,mnist_nn.onnx,unsat,0.222,843.0,,eran,43.0 mnist_nn.onnx 0.002,1,1,True
5265,,MNIST,0.002,84.0,mnist_9_200.onnx,unsat,0.2770848274230957,1443.0,84.0,bab,84.0 mnist_9_200.onnx 0.002,1,1,True
2455,,,0.002,43.0,rsl18a_linf01.onnx,unsat,0.194,143.0,,eran,43.0 rsl18a_linf01.onnx 0.002,1,1,True
2456,,MNIST,0.002,43.0,rsl18a_linf01.onnx,unsat,0.1185996532440185,747.0,43.0,bab,43.0 rsl18a_linf01.onnx 0.002,1,1,True
2463,,MNIST,0.002,44.0,fc2.onnx,sat,0.0522403717041015,753.0,44.0,bab,44.0 fc2.onnx 0.002,1,1,True
2465,,,0.002,44.0,fc2.onnx,unsat,0.011,344.0,,eran,44.0 fc2.onnx 0.002,1,1,True
5263,,,0.002,84.0,mnist_9_100.onnx,unsat/sat,1.8775160312652588,284.0,284.0,abcrown,84.0 mnist_9_100.onnx 0.002,1,1,True
5262,,MNIST,0.002,84.0,mnist_9_100.onnx,unsat,0.1596283912658691,1442.0,84.0,bab,84.0 mnist_9_100.onnx 0.002,1,1,True
2474,,MNIST,0.002,44.0,mnist_3_100.onnx,unsat,0.1134593486785888,756.0,44.0,bab,44.0 mnist_3_100.onnx 0.002,1,1,True
5261,,,0.002,84.0,mnist_6_200.onnx,unsat/sat,1.3841655254364014,184.0,184.0,abcrown,84.0 mnist_6_200.onnx 0.002,1,1,True
5260,,MNIST,0.002,84.0,mnist_6_200.onnx,unsat,0.1718955039978027,1441.0,84.0,bab,84.0 mnist_6_200.onnx 0.002,1,1,True
2477,,MNIST,0.002,44.0,mnist_3_50.onnx,unsat,0.0885951519012451,757.0,44.0,bab,44.0 mnist_3_50.onnx 0.002,1,1,True
4621,,MNIST,0.002,75.0,mnist_4_1024.onnx,unsat,0.5236220359802246,1285.0,75.0,bab,75.0 mnist_4_1024.onnx 0.002,1,1,True
5258,,,0.002,84.0,mnist_6_100.onnx,unsat/sat,1.4146413803100586,84.0,84.0,abcrown,84.0 mnist_6_100.onnx 0.002,1,1,True
5249,,MNIST,0.002,84.0,mnist_3_50.onnx,unsat,0.0975008010864257,1437.0,84.0,bab,84.0 mnist_3_50.onnx 0.002,1,1,True
2510,,,0.002,44.0,mnist_net_256x4.onnx,unsat,0.222,544.0,,eran,44.0 mnist_net_256x4.onnx 0.002,1,1,True
