,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
42,,,0.002,0.0,fc2.onnx,unsat,0.008,300.0,,eran,0.0 fc2.onnx 0.002,1,1,True
25083,,,0.008,60.0,mnist_9_100.onnx,unsat/sat,1.9064040184021,260.0,260.0,abcrown,60.0 mnist_9_100.onnx 0.008,1,1,True
25152,,,0.002,60.0,mnist_net.onnx,unsat,0.093,60.0,,eran,60.0 mnist_net.onnx 0.002,1,1,True
25111,,MNIST,0.012,60.0,mnist_9_200.onnx,unsat,0.25545334815979,960.0,60.0,bab,60.0 mnist_9_200.onnx 0.012,1,1,True
25110,,,0.012,60.0,mnist_9_200.onnx,unsat/sat,2.027166843414306,360.0,360.0,abcrown,60.0 mnist_9_200.onnx 0.012,1,1,True
25108,,MNIST,0.01,60.0,mnist_9_200.onnx,unsat,0.2584931850433349,996.0,60.0,bab,60.0 mnist_9_200.onnx 0.01,1,1,True
25107,,,0.01,60.0,mnist_9_200.onnx,unsat/sat,1.892751693725586,360.0,360.0,abcrown,60.0 mnist_9_200.onnx 0.01,1,1,True
25106,,MNIST,0.008,60.0,mnist_9_200.onnx,unsat,0.2936036586761474,1018.0,60.0,bab,60.0 mnist_9_200.onnx 0.008,1,1,True
25104,,,0.008,60.0,mnist_9_200.onnx,unsat/sat,1.854174852371216,360.0,360.0,abcrown,60.0 mnist_9_200.onnx 0.008,1,1,True
25102,,,0.006,60.0,mnist_9_200.onnx,unsat/sat,1.979040145874024,360.0,360.0,abcrown,60.0 mnist_9_200.onnx 0.006,1,1,True
25101,,MNIST,0.006,60.0,mnist_9_200.onnx,unsat,0.2648353576660156,1031.0,60.0,bab,60.0 mnist_9_200.onnx 0.006,1,1,True
25100,,MNIST,0.005,60.0,mnist_9_200.onnx,unsat,0.290471076965332,1033.0,60.0,bab,60.0 mnist_9_200.onnx 0.005,1,1,True
25098,,,0.005,60.0,mnist_9_200.onnx,unsat/sat,1.930189609527588,360.0,360.0,abcrown,60.0 mnist_9_200.onnx 0.005,1,1,True
25097,,,0.004,60.0,mnist_9_200.onnx,unsat/sat,1.9373581409454343,360.0,360.0,abcrown,60.0 mnist_9_200.onnx 0.004,1,1,True
