,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
11,,,0.002,0.0,fc_2_2sigmoids_3.onnx,unsat,0.001,600.0,,eran,0.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4298,,,0.002,70.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.788,470.0,,eran,70.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3982,,,0.002,66.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.746,466.0,,eran,66.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4041,,,0.002,67.0,fc_2_2sigmoids_3.onnx,unsat,0.001,667.0,,eran,67.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4046,,,0.002,67.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.745,467.0,,eran,67.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4104,,,0.002,68.0,fc_2_2sigmoids_3.onnx,unsat,0.001,668.0,,eran,68.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4108,,,0.002,68.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.641,468.0,,eran,68.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4167,,,0.002,69.0,fc_2_2sigmoids_3.onnx,unsat,0.003,669.0,,eran,69.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4170,,,0.002,69.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.657,469.0,,eran,69.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4232,,,0.002,7.0,fc_2_2sigmoids_3.onnx,unsat,0.001,607.0,,eran,7.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4233,,,0.002,7.0,ffnnSIGMOID__Point_6x200.onnx,unsat,0.442,407.0,,eran,7.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4293,,,0.002,70.0,fc_2_2sigmoids_3.onnx,unsat,0.001,670.0,,eran,70.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4357,,,0.002,71.0,fc_2_2sigmoids_3.onnx,unsat,0.003,671.0,,eran,71.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
12,,,0.002,0.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.77,400.0,,eran,0.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4359,,,0.002,71.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.57,471.0,,eran,71.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4419,,,0.002,72.0,fc_2_2sigmoids_3.onnx,unsat,0.001,672.0,,eran,72.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4423,,,0.002,72.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.642,472.0,,eran,72.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4483,,,0.002,73.0,fc_2_2sigmoids_3.onnx,unsat,0.001,673.0,,eran,73.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4486,,,0.002,73.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.812,473.0,,eran,73.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4545,,,0.002,74.0,fc_2_2sigmoids_3.onnx,unsat,0.001,674.0,,eran,74.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4550,,,0.002,74.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.712,474.0,,eran,74.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4609,,,0.002,75.0,fc_2_2sigmoids_3.onnx,unsat,0.001,675.0,,eran,75.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4611,,,0.002,75.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.789,475.0,,eran,75.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4673,,,0.002,76.0,fc_2_2sigmoids_3.onnx,unsat,0.001,676.0,,eran,76.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3980,,,0.002,66.0,fc_2_2sigmoids_3.onnx,unsat,0.001,666.0,,eran,66.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3919,,,0.002,65.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.758,465.0,,eran,65.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3917,,,0.002,65.0,fc_2_2sigmoids_3.onnx,unsat,0.001,665.0,,eran,65.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3855,,,0.002,64.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.772,464.0,,eran,64.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3222,,,0.002,55.0,fc_2_2sigmoids_3.onnx,unsat,0.003,655.0,,eran,55.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3226,,,0.002,55.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.679,455.0,,eran,55.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3286,,,0.002,56.0,fc_2_2sigmoids_3.onnx,unsat,0.001,656.0,,eran,56.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3288,,,0.002,56.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.696,456.0,,eran,56.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3350,,,0.002,57.0,fc_2_2sigmoids_3.onnx,unsat,0.001,657.0,,eran,57.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3353,,,0.002,57.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.684,457.0,,eran,57.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3413,,,0.002,58.0,fc_2_2sigmoids_3.onnx,unsat,0.001,658.0,,eran,58.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3416,,,0.002,58.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.768,458.0,,eran,58.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3475,,,0.002,59.0,fc_2_2sigmoids_3.onnx,unsat,0.001,659.0,,eran,59.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3479,,,0.002,59.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.711,459.0,,eran,59.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3537,,,0.002,6.0,fc_2_2sigmoids_3.onnx,unsat,0.001,606.0,,eran,6.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3542,,,0.002,6.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.728,406.0,,eran,6.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3600,,,0.002,60.0,fc_2_2sigmoids_3.onnx,unsat,0.001,660.0,,eran,60.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3603,,,0.002,60.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.762,460.0,,eran,60.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3665,,,0.002,61.0,fc_2_2sigmoids_3.onnx,unsat,0.001,661.0,,eran,61.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3666,,,0.002,61.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.763,461.0,,eran,61.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3728,,,0.002,62.0,fc_2_2sigmoids_3.onnx,unsat,0.001,662.0,,eran,62.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3729,,,0.002,62.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.798,462.0,,eran,62.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3789,,,0.002,63.0,fc_2_2sigmoids_3.onnx,unsat,0.001,663.0,,eran,63.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
3792,,,0.002,63.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.694,463.0,,eran,63.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
3854,,,0.002,64.0,fc_2_2sigmoids_3.onnx,unsat,0.001,664.0,,eran,64.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
